rank,물품코드,물품명,usage_qty,unit_price,value_share,cumulative_share,abc_class,ved_class
149,WA21407731,아모잘탄정5/50mg(한미약품)-1정,412117.5,0.0,0.0011156870508737006,0.539801923215632,A,
150,W656004780,콜리아틴정(콜린알포세레이트)_(0.4g/1정)(알리코제약(주))-1정,411931.0,0.0,0.001115182156917516,0.5409171053725496,A,
151,WA00305131,로이솔정(신풍제약)-1정,410417.5,0.0,0.0011110848003347516,0.5420281901728843,A,
152,W669604340,테로핀정2밀리그램(테라조신염산염수화물)((주)아이월드제약)-1정,406016.0,0.0,0.001099169032248173,0.5431273592051324,A,
153,W622804550,메모엠연질캡슐(콜린알포세레이트)_(0.4g/1캡슐)((주)마더스제약)-1캡슐,405427.0,0.0,0.0010975744877967373,0.5442249336929291,A,
154,W642002540,레보투스정(레보드로프로피진)_(60mg/1정)(현대약품(주))-1정,398286.5,0.0,0.001078243681930052,0.5453031773748592,A,
155,W622802770,렘피드캡슐(에르도스테인)_(0.3g/1캡슐)((주)마더스제약)-1캡슐,394137.0,0.0,0.0010670101298057174,0.5463701875046649,A,
156,W653805230,마미센스(철분제),393366.0,0.0,0.001064922873825994,0.5474351103784909,A,
157,W649001240,파티스렌정(애엽95%에탄올연조엑스(20→1))(풍림무약(주))-1정,391431.0,0.0,0.0010596844298301905,0.5484947948083211,A,
158,W648602730,텔미로탄정40mg(텔미사르탄)((주)씨엠지제약)-1정,390148.0,0.0,0.0010562110842763837,0.5495510058925974,A,
159,WA04301741,우루사정(대웅제약)-1정,389722.0,0.0,0.0010550578144354471,0.5506060637070329,A,
160,W664901250,탐스롤서방정(탐스로신염산염)_(0.2mg/1정)(성원애드콕제약(주))-1정,384159.0,0.0,0.0010399976263482866,0.5516460613333812,A,
161,WA10705001,베스디핀정(진양제약)-1정,374319.5,0.0,0.00101336007094947,0.5526594214043307,A,
162,W689001230,듀크포지정5/80밀리그램_(1정)((주)시어스제약)-1정,372243.5,0.0,0.0010077399108795535,0.5536671613152102,A,
163,WA01504611,동아가스터정20밀리그램(파모티딘)_(20mg/1정)(동아에스티(주))-1정,371198.5,0.0,0.0010049108804011996,0.5546720721956114,A,
164,W698002340,씨메트정(시메티딘)(콜마파마(주))-1정,370335.5,0.0,0.0010025745614511332,0.5556746467570626,A,
165,WF03300021,코데날정(삼아제약)-1정,367318.5,0.0,0.0009944069203475985,0.5566690536774102,A,
166,W654304830,게이트정(알마게이트)(오스틴제약(주))-1정,362300.0,0.0,0.0009808208060360013,0.5576498744834462,A,
167,W669501610,아드정(암로디핀베실산염)((주)씨티씨바이오)-1정,361363.6,312.0,0.0009782857781509002,0.558628160261597,A,
168,W693901770,셀미살탄정40밀리그램(텔미사르탄)((주)셀트리온제약)-1정,356870.5,0.0,0.0009661220299764582,0.5595942822915735,A,
169,WA04551261,암로핀정5mg(유한양행)-1정,355836.5,0.0,0.0009633227787662974,0.5605576050703398,A,
170,W648602640,씨엠지아스피린장용정100mg((주)씨엠지제약)-1정,355712.0,0.0,0.0009629857315944744,0.5615205908019343,A,
171,WA09303211,보령아스트릭스캅셀100mg(보령제약)-1캅셀,355094.0,0.0,0.0009613126781632565,0.5624819034800975,A,
172,WA37803931,로디엔정2.5mg(한림제약)-1정,352433.0,0.0,0.0009541088024667018,0.5634360122825642,A,
173,W055100860,피오투정(피오글리타존염산염)_(16.53mg/1정)(코스맥스파마(주))-1정,352348.0,0.0,0.0009538786899397543,0.564389890972504,A,
174,USE0001051,"(암)삐콤정(1,000T)",352198.0,,0.000953472609009847,0.5653433635815138,A,
175,WA08651641,프레나정(태극제약)-1정,351473.5,0.0,0.000951511238118395,0.5662948748196323,A,
176,W689000430,아르테크정20밀리그램(아토르바스타틴칼슘수화물)_(21.7mg/1정)((주)시어스제약)-1정,349567.5,0.0,0.0009463513031023734,0.5672412261227346,A,
177,W621802380,에이스린장용정(아스피린)((주)한국파비스제약)-1정,345628.0,0.0,0.0009356862642799091,0.5681769123870145,A,
